BOT	DISCOUNT	CATEGORY	URL
BOT1	25	TELEFON_AKSESUAR	https://www.mediamarkt.com.tr/tr/category/_telefon-aksesuarlar%C4%B1-640521.html
BOT1	25	MUTFAK_GERECLERI	https://www.mediamarkt.com.tr/tr/category/_mutfak-806547.html
BOT1	25	OUTLET	https://www.mediamarkt.com.tr/tr/category/_outlet-753011.html
BOT2	25	KULAKLIKLAR	https://www.mediamarkt.com.tr/tr/category/_kulakl%C4%B1klar-795538.html
BOT3	25	PC_BILESENLER	https://www.mediamarkt.com.tr/tr/category/_bilgisayar-bile%C5%9Fenleri-641508.html
BOT4	25	PC_CEVRE_BILESENLER	https://www.mediamarkt.com.tr/tr/category/_%C3%A7evre-birimleri-798009.html
BOT1	25	PC_TABLET_AKSESUAR	https://www.mediamarkt.com.tr/tr/category/_bilgisayar-tablet-aksesuarlar%C4%B1-640515.html
BOT1	25	KABLOLAR	https://www.mediamarkt.com.tr/tr/category/_kablolar-d%C3%B6n%C3%BC%C5%9Ft%C3%BCr%C3%BCc%C3%BCler-ve-prizler-602513.html
BOT1	25	OYUNCU_AKSESUAR	https://www.mediamarkt.com.tr/tr/category/_oyuncu-aksesuarlar%C4%B1-798020.html
BOT1	25	FOTO_KAMERA_AKSESUAR	https://www.mediamarkt.com.tr/tr/category/_foto-kamera-aksesuarlar%C4%B1-640519.html
BOT3	25	DERIN_DONDURUCU	https://www.mediamarkt.com.tr/tr/category/_derin-dondurucular-678524.html
BOT1	25	KAHVE_CAY	https://www.mediamarkt.com.tr/tr/category/_kahve-%C3%A7ay-806537.html
BOT2	25	HAFIZA_DEPOLAMA	https://www.mediamarkt.com.tr/tr/category/_haf%C4%B1za-depolama-%C3%BCr%C3%BCnleri-504971.html
BOT4	25	SES_SISTEMI	https://www.mediamarkt.com.tr/tr/category/_ses-sistemleri-795517.html
BOT1	25	OYUN	https://www.mediamarkt.com.tr/tr/category/_oyunlar-465881.html
BOT5	25	TELEVIZYON	https://www.mediamarkt.com.tr/tr/category/_televizyon-465019.html
BOT5	25	DRONE	https://www.mediamarkt.com.tr/tr/category/_drone-589509.html
BOT4	25	ANDROID_TELEFON	https://www.mediamarkt.com.tr/tr/category/_android-telefonlar-675172.html
BOT5	25	SUPURGE_ROBOT	https://www.mediamarkt.com.tr/tr/category/_s%C3%BCp%C3%BCrgeler-465738.html
BOT1	25	OFIS_MALZEMELERI	https://www.mediamarkt.com.tr/tr/category/_ofis-malzemeleri-504961.html
BOT5	25	BUZDOLABI	https://www.mediamarkt.com.tr/tr/category/_buzdolab%C4%B1-465709.html
BOT5	25	ANKASTRE	https://www.mediamarkt.com.tr/tr/category/_ankastre-465724.html
BOT6	25	ISITMA_SOGUTMA	https://www.mediamarkt.com.tr/tr/category/_is%C4%B1tma-so%C4%9Futma-465751.html
BOT6	25	IPHONE	https://www.mediamarkt.com.tr/tr/category/_iphone-644527.html
BOT6	25	TABLET	https://www.mediamarkt.com.tr/tr/category/_tabletler-639520.html
BOT6	25	CAMASIR_KURUTMA	https://www.mediamarkt.com.tr/tr/category/_%C3%A7ama%C5%9F%C4%B1r-kurutma-makineleri-809008.html
BOT1	25	SAC_BAKIM	https://www.mediamarkt.com.tr/tr/category/_sa%C3%A7-bak%C4%B1m-675547.html
BOT1	25	ERKEK_BAKIM	https://www.mediamarkt.com.tr/tr/category/_erkek-bak%C4%B1m-%C3%BCr%C3%BCnleri-465821.html
BOT6	25	AKILLI_SAAT	https://www.mediamarkt.com.tr/tr/category/_ak%C4%B1ll%C4%B1-saatler-587058.html
BOT6	25	LAPTOP	https://www.mediamarkt.com.tr/tr/category/_laptop-504926.html
BOT1	25	UTU	https://www.mediamarkt.com.tr/tr/category/_%C3%BCt%C3%BCler-465747.html
BOT1	25	AYDINLATMA	https://www.mediamarkt.com.tr/tr/category/_ayd%C4%B1nlatma-%C3%BCr%C3%BCnleri-807010.html
BOT6	25	BULASIK_MAKINESI	https://www.mediamarkt.com.tr/tr/category/_bula%C5%9F%C4%B1k-makineleri-712509.html
BOT1	25	AGIZ_BAKIM	https://www.mediamarkt.com.tr/tr/category/_a%C4%9F%C4%B1z-bak%C4%B1m-%C3%BCr%C3%BCnleri-465839.html
BOT6	25	MONITOR	https://www.mediamarkt.com.tr/tr/category/_monit%C3%B6r-798011.html
BOT6	25	YAZICI_TARAYICI	https://www.mediamarkt.com.tr/tr/category/_yaz%C4%B1c%C4%B1-taray%C4%B1c%C4%B1-797535.html
BOT1	25	TV_SES_AKSESUAR	https://www.mediamarkt.com.tr/tr/category/_tv-ses-aksesuarlar%C4%B1-640522.html
BOT6	25	VIDEO_KAMERA	https://www.mediamarkt.com.tr/tr/category/_video-kamera-465687.html
BOT5	25	FIRIN	https://www.mediamarkt.com.tr/tr/category/_f%C4%B1r%C4%B1n-678525.html
BOT1	25	ANNE_BEBEK	https://www.mediamarkt.com.tr/tr/category/_anne-bebek-%C3%BCr%C3%BCnleri-636026.html
BOT1	25	SAGLIK	https://www.mediamarkt.com.tr/tr/category/_sa%C4%9Fl%C4%B1k-%C3%BCr%C3%BCnleri-465833.html
BOT1	25	KADIN_BAKIM	https://www.mediamarkt.com.tr/tr/category/_kad%C4%B1n-bak%C4%B1m-%C3%BCr%C3%BCnleri-465826.html
BOT1	25	AKILLI_BILEKLIK	https://www.mediamarkt.com.tr/tr/category/_ak%C4%B1ll%C4%B1-bileklik-644040.html
BOT6	25	MASAUSTU_PC	https://www.mediamarkt.com.tr/tr/category/_masa%C3%BCst%C3%BC-bilgisayarlar-504957.html
BOT5	25	PROJEKSIYON	https://www.mediamarkt.com.tr/tr/category/_projeksiyon-465020.html
BOT1	25	UYDU_ALICI	https://www.mediamarkt.com.tr/tr/category/_uydu-al%C4%B1c%C4%B1lar%C4%B1-465022.html
BOT1	25	MEDIA_PLAYER	https://www.mediamarkt.com.tr/tr/category/_media-player-795021.html
BOT1	25	MIKROFON	https://www.mediamarkt.com.tr/tr/category/_mikrofon-795529.html
BOT1	25	GUVENLIK_KAMERASI	https://www.mediamarkt.com.tr/tr/category/_g%C3%BCvenlik-kameras%C4%B1-675202.html
BOT1	25	FOTO_MAKINE_CANTASI	https://www.mediamarkt.com.tr/tr/category/_foto%C4%9Fraf-makinesi-%C3%A7antalar%C4%B1-640550.html
BOT3	25	OYUN_KONSOLU	https://www.mediamarkt.com.tr/tr/category/_oyun-konsollar%C4%B1-465863.html
BOT1	25	KONSOL_AKSESUAR	https://www.mediamarkt.com.tr/tr/category/_oyun-konsolu-aksesuarlar%C4%B1-465889.html
BOT2	25	ELEKTRIKLI_SCOOTER	https://www.mediamarkt.com.tr/tr/category/_elektrikli-scooter-799010.html
